103年新北市地方公職人員選舉投開票所設置地點一覽表(草案),,,,,,
,,,,,,
,,,,,,
新莊區(第2選舉區),,,,,,
投開票所編號,場所名稱,投開票所地址,所屬里別,所屬鄰別,監察員姓名,備註
420,新泰國小(207教室),公園一路９１號,立言里,"18,20-24",,
421,豐年國小(116教室),瓊泰路１１６號,豐年里,"1-4,15",,新增
422,豐年國小(117教室),瓊泰路１１６號,豐年里,"5-8,14",,
423,豐年國小(118教室),瓊泰路１１６號,豐年里,"9-13,16",,
424,豐年國小(115教室),瓊泰路１１６號,國泰里,全里,,
425,清潔大樓(清潔隊),瓊林路３４號１樓,泰豐里,"1,3-7",,
426,豐年市民活動中心,豐年街５７之５號,泰豐里,"2,8-14",,
427,瓊泰市民活動中心1樓,瓊泰路８５號,瓊林里,"1,2",,
428,瓊泰市民活動中心(地下室),瓊泰路８５號,瓊林里,3-6,,新增
429,新莊仁濟醫院,中環路一段２８號,瓊林里,7-10,,
430,瓊林市民活動中心,瓊林北路１之１號,瓊林里,11-20,,
431,福營集會所,福營路２９號,福營里,1-10,,
432,新北市立新莊幼兒園中心分班,福營路２７７號,福營里,11-20,,
433,國泰國小(101教室),中正路３８６號,營盤里,"1-8,19",,
434,民宅,中正路５８６巷２號,營盤里,9-18,,變更
435,心慈托兒所,中正路７００之１４號,丹鳳里,1-7,,
436,慈悲寺,壽山路１６２號,丹鳳里,8-13,,變更
437,慈悲寺,壽山路１６２號,丹鳳里,"14-16,24-28",,
438,伊吉邦社區文教區廣場,新北大道七段３１６號,丹鳳里,17-20,,
439,伊吉邦社區文教區廣場,新北大道七段３１６號,丹鳳里,21-23,,新增
440,牡丹心市民活動中心(才藝教室),雙鳳路７５號５樓,合鳳里,1-8,,
441,牡丹心市民活動中心(閱覽室),雙鳳路７５號５樓,合鳳里,9-16,,
442,牡丹心市民活動中心(交誼廳),雙鳳路７５號５樓,合鳳里,17-25,,
443,晨光幼稚園,雙鳳路９０巷３弄５號,祥鳳里,1-8,,
444,晨光幼稚園,雙鳳路９０巷３弄５號,祥鳳里,9-18,,
445,丹鳳國小(124教室),新北大道七段４３７號,雙鳳里,1-3,,變更
446,丹鳳國小(125教室),新北大道七段４３７號,雙鳳里,4-10,,變更
447,丹鳳國小(126教室),新北大道七段４３７號,雙鳳里,11-13,,
448,丹鳳國小(127教室),新北大道七段４３７號,雙鳳里,14-25,,
449,丹鳳國小(129教室),新北大道七段４３７號,雙鳳里,"26-28,30",,
450,丹鳳國小(130教室),新北大道七段４３７號,雙鳳里,"29,31-36",,
451,三和基督長老教會,中正路９２９巷２６號,龍福里,1-8,,
452,三和基督長老教會(車庫),中正路９２９巷２６號,龍福里,9-13,,新增
453,丹鳳高中(901教室),龍安路７２號,龍鳳里,1-6,,
454,丹鳳高中(905教室),龍安路７２號,龍鳳里,7-13,,
455,丹鳳高中(801教室),龍安路７２號,龍鳳里,14-22,,
456,丹鳳高中(804教室),龍安路７２號,龍鳳里,"23-27,30",,新增
457,丹鳳高中(806教室),龍安路７２號,龍鳳里,"28,29",,
458,裕民國小(106教室),裕民街１２３號,裕民里,1-7,,
459,裕民國小(108教室),裕民街１２３號,裕民里,8-15,,
460,裕民國小(109教室),裕民街１２３號,裕民里,16-23,,
461,裕民國小(111教室),裕民街１２３號,裕民里,24-32,,
462,裕民國小(101教室),裕民街１２３號,龍安里,1-9,,
463,裕民國小(103教室),裕民街１２３號,龍安里,10-15,,
464,雙富綠廊,福營路３７８號（對面）,富國里,1-7,,變更
465,雙富綠廊,福營路３７８號（對面）,富國里,8-14,,變更
466,富民集會所,中正路７８７號,富民里,1-12,,
467,雙富綠廊,福營路３７８號(對面),富民里,13-21,,
468,長青文康活動中心(閱覽室),後港一路１９號Ｂ１,後德里,1-7,,
469,長青文康活動中心(視聽室),後港一路１９號Ｂ１,後德里,8-15,,
470,福營國中(信1-5資源教室),富國路１０５號,萬安里,1-9,,
471,福營國中(和1-3特教教室),富國路１０５號,萬安里,10-18,,
472,後港市民活動中心二樓會議室,建安街２６巷４號２樓,建福里,1-6,,
473,後港市民活動中心二樓親子圖書館,建安街２６巷４號２樓,建福里,7-13,,
474,後港市民活動中心地下一樓健身房,建安街２６巷４號,後港里,1-8,,
475,後港市民活動中心地下一樓健身房,建安街２６巷４號,後港里,9-17,,
476,後港市民活動中心一樓交誼中心,建安街２６巷４號,後港里,18-24,,
477,後港市民活動中心一樓交誼中心,建安街２６巷４號,後港里,25-31,,
478,福營國中(健體教室),富國路１０５號,四維里,1-8,,
479,福營國中(補一教室),富國路１０５號,四維里,9-16,,
480,福營國中(補二教室),富國路１０５號,四維里,17-22,,
481,四維市民活動中心地下室,四維路１８６巷２號,南港里,1-6,,
482,四維市民活動中心地下室,四維路１８６巷２號,南港里,7-12,,
483,四維市民活動中心1樓,四維路１８６巷２號,南港里,13-18,,
484,四維市民活動中心1樓,四維路１８６巷２號,南港里,19-22,,新增
485,民安國小(154教室),民安路２６１號,建安里,1-9,,
486,民安國小(155教室),民安路２６１號,建安里,10-20,,
487,民安國小(157教室),民安路２６１號,建安里,21-26,,
488,民安國小(159教室),民安路２６１號,建安里,27-34,,
489,民安國小(110教室),民安路２６１號,民全里,"1-6,17",,
490,民安國小(151教室),民安路２６１號,民全里,7-16,,
491,民安國小(120教室),民安路２６１號,八德里,1-8,,
492,民安國小(122教室),民安路２６１號,八德里,9-16,,
493,光華國小(101教室),龍安路４５２號,成德里,1-8,,
494,光華國小(102教室),龍安路４５２號,成德里,9-15,,
495,光華國小(103教室),龍安路４５２號,成德里,16-23,,
496,民安國小(161教室),民安路２６１號,民安里,1-11,,
497,民安國小(163教室),民安路２６１號,民安里,"12-15,19-22",,
498,光華國小(104教室),龍安路４５２號,民安里,"16-18,23-27",,新增
499,光華國小(105教室),龍安路４５２號,民安里,28-33,,
500,四海一家文康室,西盛街１８０號,民有里,1-11,,
501,中國海B.C棟社區會議室,西盛街１５３巷６號,民有里,12-20,,
502,民安國小(152教室),民安路２６１號,民本里,1-9,,
503,民安國小( 153教室),民安路２６１號,民本里,10-19,,
504,光華國小(114教室),龍安路４５２號,光明里,1-8,,
505,光華國小(115教室),龍安路４５２號,光明里,9-14,,
506,光華國小( 116教室),龍安路４５２號,光明里,15-21,,新增
507,光華國小(八德B11),龍安路４５２號,光正里,1-5,,
508,光華國小(八德B12),龍安路４５２號,光正里,6-14,,
509,光華國小(八德B13),龍安路４５２號,光正里,15-22,,新增
510,光華國小(八德A11),龍安路４５２號,光榮里,1-5,,
511,光華國小(八德A12),龍安路４５２號,光榮里,"6-10,12",,
512,光華國小(八德A13),龍安路４５２號,光榮里,"11,13-20",,新增
513,光華國小(三民124),龍安路４５２號,光和里,1-9,,
514,光華國小(三民125),龍安路４５２號,光和里,10-19,,
515,民生社會社區（多元會議室）,民安西路３８２號２樓,光華里,1-9,,
516,民生社會社區（視聽娛樂室）,民安西路３８０號２樓,光華里,10-17,,
517,民生社會社區（舞蹈韻律室）,民安西路３９２號２樓,光華里,18-23,,
518,民生社會社區（運動健身室）,民安西路３９２號２樓,光華里,24-28,,
519,西盛市民活動中心,民安路３９３號,西盛里,"1-5,19,22",,
520,華新麗華股份有限公司,新樹路２５６號,西盛里,"7,8,23",,
521,享奎股份有限公司,新樹路５２９號,西盛里,"12,13,20,21",,
522,中華電線電纜公司,新樹路２９０號,西盛里,"6,24,9-11",,變更
523,民宅(現代東京),新樹路６２９之８號,西盛里,25-29,,變更
524,民宅,新樹路６８７巷１３號,西盛里,14-18,,新增
