103年新北市地方公職人員選舉投開票所設置地點一覽表(草案),,,,,,,
,,,,,,,
,,,,,,,
中和區(第5選舉區),,,,,,,
投開票所編號,場所名稱,投開票所地址,所屬里別,所屬鄰別,監察員姓名,備註,
1363,明德市民活動中心,民德路１９７號（明德公園內）,清穗里,"1-4,12-19",,,
1364,明德市民活動中心,民德路１９７號（明德公園內）,清穗里,"5-11,20-24",,,
1365,自強國小145教室,莒光路２００號（後門進入）,自強里,1-9,,,
1366,自強國小147教室,莒光路２００號（後門進入）,自強里,10-17,,,
1367,自強國小附設幼稚園餐廳,莒光路２００號（後門進入）,自強里,18-25,,,
1368,德穗國華市民活動中心,國光街１號,德穗里,"1-7,17-20",,,
1369,時代幼兒園,莒光路８４巷２２號,德穗里,"8-16,30,31",,,
1370,尊爵富邑聯誼廳,莒光路８４巷４６號（１２鄰）,德穗里,"21-29,32",,,
1371,民生市民活動中心,民生街２８巷２之１號,民生里,"1-14,23",,,
1372,民宅,民生街２８巷２號,民生里,"15-22,24-30",,,
1373,松柏幼兒園,國光街１１２巷４２號,國光里,"1-5,9-16",,,
1374,天下為公社區會議室,民德路５４號,國光里,"6-8,17-39",,,
1375,大順天廈社區活動中心,民德路３７０號,壽德里,"1-3,5,27-31",,,
1376,壽德丙區管委會,華順街１３６號,壽德里,"4,6-14",,,
1377,壽德甲區管委會,壽德街２５號,壽德里,15-26,,,
1378,華福市民活動中心,民德路３１１號,明德里,"1-4,14-17",,,
1379,華福市民活動中心,民德路３１１號,明德里,5-13,,,
1380,華福市民活動中心,民德路３１１號,明德里,18-28,,,
1381,錦和高中,錦和路１６３號,錦中里,2-6,,,
1382,錦和高中,錦和路１６３號,錦中里,"1,7-14",,,
1383,錦和國小,圓通路２９２號,錦中里,15-22,,,
1384,錦和園社區管理委員會,圓通路３０５巷１８號,錦盛里,"1-10,13",,,
1385,錦盛市民活動中心,圓通路３３５巷３７弄１２號,錦盛里,"11,12,14-26",,,
1386,民有市民活動中心,自治街５６號對面,民有里,1-13,,,
1387,莒東社區長壽俱樂部,民享街３７號,民有里,14-24,,,
